Cidade,Nome da Praia,Trecho / Ponto de Referência,Período de Amostragem,Status,Classificação dos 100m
MATARACA - PB,BARRA DO GUAJÚ,Divisa RN/PB,11/05/2026 a 14/05/2026,PRÓPRIO,Adequado para banho
MATARACA - PB,PAVUNA,Lagoa da Pavuna,11/05/2026 a 14/05/2026,PRÓPRIO,Adequado para banho
MATARACA - PB,BALEIA E BARRA DE CAMARATUBA,Rua Valfredo Medeiro,11/05/2026 a 14/05/2026,PRÓPRIO,Adequado para banho
MATARACA - PB,BALEIA E BARRA DE CAMARATUBA,Foz do Rio Camaratuba,11/05/2026 a 14/05/2026,PRÓPRIO,Adequado para banho
BAÍA DA TRAIÇÃO - PB,TAMBÁ E PRAIA DO FORTE,PB-008,11/05/2026 a 14/05/2026,PRÓPRIO,Adequado para banho
BAÍA DA TRAIÇÃO - PB,TAMBÁ E PRAIA DO FORTE,Rua Matias Freire,11/05/2026 a 14/05/2026,PRÓPRIO,Adequado para banho
BAÍA DA TRAIÇÃO - PB,"BAÍA DA TRAIÇÃO, TRINCHEIRAS E ACAJUTIBIRÓ",Final da Rua Osvaldo Trigueiro,11/05/2026 a 14/05/2026,PRÓPRIO,Adequado para banho
BAÍA DA TRAIÇÃO - PB,"BAÍA DA TRAIÇÃO, TRINCHEIRAS E ACAJUTIBIRÓ",Próximo a Barreira de Corais da Praia de Baia da Traição,11/05/2026 a 14/05/2026,PRÓPRIO,Adequado para banho
BAÍA DA TRAIÇÃO - PB,"BAÍA DA TRAIÇÃO, TRINCHEIRAS E ACAJUTIBIRÓ",Rua da Prainha,11/05/2026 a 14/05/2026,PRÓPRIO,Adequado para banho
RIO TINTO - PB,BARRA DE MAMANGUAPE E PRAIA DE CAMPINA,Rua Pôr do Sol,11/05/2026 a 14/05/2026,PRÓPRIO,Adequado para banho
RIO TINTO - PB,BARRA DE MAMANGUAPE E PRAIA DE CAMPINA,PB 008,11/05/2026 a 14/05/2026,PRÓPRIO,Adequado para banho
RIO TINTO - PB,PRAIA DE OITEIRO,PB 008,11/05/2026 a 14/05/2026,PRÓPRIO,Adequado para banho
LUCENA - PB,BONSUCESSO E LUCENA,Rua Mariano de Souza Falcão,11/05/2026 a 14/05/2026,PRÓPRIO,Adequado para banho
LUCENA - PB,BONSUCESSO E LUCENA,Rua Otávio M. Falcão,11/05/2026 a 14/05/2026,PRÓPRIO,Adequado para banho
LUCENA - PB,PONTA DE LUCENA,Rua Eugênio de Souza Falcão,11/05/2026 a 14/05/2026,PRÓPRIO,Adequado para banho
LUCENA - PB,GAMELEIRA E FAGUNDES,Rua Porfírio Guedes Lucena,11/05/2026 a 14/05/2026,PRÓPRIO,Adequado para banho
